,Feature,Mean,Variance
0,SIZE,3.4148928545832438,3.071539114514269
1,DISTANCE,100.20999068300723,2997.0103008169417
2,DESIBEL,96.33003655127929,66.94740784643868
3,AIRFLOW,6.938923528990181,22.42526844631301
4,FREQUENCY,31.528990181323014,439.9181913188315
5,FUEL_encoded,2.412026087579732,1.4131915733178615
